plot	region	date	time	who	condition	tx	subplot	txfull	plant	height	n.leaves	n.mines	mined.leaves	yellow.leaves	n.mined.leaves	n.yellow.leaves	n.fruits	mined.leaf.rem	umined.leaf.rem	n.larvae	n.pupae	galls?	small mines?	other.notes
6	A	15-Aug	12:30pm	Nic & Cole	JA	tx	6_B	JA_tx	A2	16	10	1	2	1	1	1	0							
6	A	15-Aug	12:30pm	Nic & Cole	JA	tx	6_B	JA_tx	A3	24	11	0	NA	"1,2"	0	2	0							
6	A	15-Aug	12:30pm	Nic & Cole	JA	tx	6_B	JA_tx	A4	25	13	1	2	1	1	1	7							
6	A	15-Aug	12:30pm	Nic & Cole	JA	tx	6_B	JA_tx	B1	27	10	1	7	"1,2"	1	2	8	1	7					
6	A	15-Aug	12:30pm	Nic & Cole	JA	tx	6_B	JA_tx	B2	29	13	2	"2,4"	"1,2,3"	2	3	3							
6	A	15-Aug	12:30pm	Nic & Cole	JA	tx	6_B	JA_tx	B3	25	7	0	NA	1	0	1	9							
6	A	15-Aug	12:30pm	Nic & Cole	JA	tx	6_B	JA_tx	B4	24	8	4	"2,3,4,5"	1	4	1	13							
6	A	15-Aug	12:30pm	Nic & Cole	JA	tx	6_B	JA_tx	C1	22	12	3	"2,4,5"	1	3	1	5	2	5	1				
6	A	15-Aug	12:30pm	Nic & Cole	JA	tx	6_B	JA_tx	C2	24	11	2	"4,5"	"1,2"	2	2	8							
6	A	15-Aug	12:30pm	Nic & Cole	JA	tx	6_B	JA_tx	C3	19	11	3	"2,3,5"	"1,2,3"	3	3	1							
6	A	15-Aug	12:30pm	Nic & Cole	JA	tx	6_B	JA_tx	C4	29	11	3	"1,2,4"	1	3	1	11							
6	A	15-Aug	12:30pm	Nic & Cole	JA	tx	6_B	JA_tx	D1	24	8	6	"2,3,4"	1	3	1	4	1	2					
6	A	15-Aug	12:30pm	Nic & Cole	JA	tx	6_B	JA_tx	D2	22	10	3	"2,3"	"1,2"	2	2	0			1				
6	A	15-Aug	12:30pm	Nic & Cole	JA	tx	6_B	JA_tx	D3	18	6	3	"1,2,3"	NA	3	0	1							
6	A	15-Aug	12:30pm	Nic & Cole	JA	tx	6_B	JA_tx	D4	16	10	2	"1,3"	1	2	1	0							
6	A	15-Aug	12:30pm	Nic & Cole	JA	zm	6_A	JA_zm	A1	28	8	1	3	1	1	1	1	1	1					
6	A	15-Aug	12:30pm	Nic & Cole	JA	zm	6_A	JA_zm	A2	27	5	4	"1,2,3,4"	1	4	1	11							
6	A	15-Aug	12:30pm	Nic & Cole	JA	zm	6_A	JA_zm	A3	19	11	0	NA	"1,2"	0	2	0							
6	A	15-Aug	12:30pm	Nic & Cole	JA	zm	6_A	JA_zm	A4	35	16	5	"2,3,4,5,6"	"1,2,3,4"	5	4	3							
6	A	15-Aug	12:30pm	Nic & Cole	JA	zm	6_A	JA_zm	B1	27	11	3	"3,5,11"	"1,2"	3	2	0	1	1	1				
